Time(s),Distance(m)
3.727,0.114032
3.739,0.113990
3.751,0.113947
3.763,0.113904
3.775,0.113861
3.787,0.113818
3.799,0.113775
3.811,0.113731
3.823,0.113688
3.835,0.113644
3.847,0.113600
3.859,0.113556
3.871,0.113512
3.883,0.113467
3.895,0.113423
3.908,0.113378
3.920,0.113333
3.932,0.113289
3.944,0.113243
3.956,0.113198
3.968,0.113153
3.980,0.113107
3.992,0.113062
4.004,0.113016
4.016,0.112970
4.028,0.112924
4.040,0.112878
4.052,0.112831
4.064,0.112785
4.076,0.112738
4.088,0.112691
4.100,0.112644
4.113,0.112597
4.125,0.112550
4.137,0.112503
4.149,0.112455
4.161,0.112407
4.173,0.112359
4.185,0.112312
4.197,0.112263
4.209,0.112215
4.221,0.112167
4.233,0.112118
4.245,0.112070
4.257,0.112021
4.269,0.111972
4.281,0.111923
4.293,0.111873
4.306,0.111824
4.318,0.111775
4.330,0.111725
4.342,0.111675
4.354,0.111625
4.366,0.111575
4.378,0.111525
4.390,0.111474
4.402,0.111424
4.414,0.111373
4.426,0.111322
4.438,0.111271
4.450,0.111220
4.462,0.111169
4.474,0.111117
4.486,0.111066
4.498,0.111014
4.511,0.110962
4.523,0.110910
4.535,0.110858
4.547,0.110806
4.559,0.110754
4.571,0.110701
4.583,0.110649
4.595,0.110596
4.607,0.110543
4.619,0.110490
4.631,0.110437
4.643,0.110383
4.655,0.110330
4.667,0.110276
4.679,0.110222
4.691,0.110168
4.703,0.110114
4.716,0.110060
4.728,0.110006
4.740,0.109951
4.752,0.109897
4.764,0.109842
4.776,0.109787
4.788,0.109732
4.800,0.109677
4.812,0.109621
4.824,0.109566
4.836,0.109510
4.848,0.109454
4.860,0.109399
4.872,0.109342
4.884,0.109286
4.896,0.109230
4.909,0.109174
4.921,0.109117
4.933,0.109060
4.945,0.109004
4.957,0.108947
4.969,0.108889
4.981,0.108832
4.993,0.108775
5.005,0.108717
5.017,0.108660
5.029,0.108602
5.041,0.108544
5.053,0.108486
5.065,0.108427
5.077,0.108369
5.089,0.108311
5.101,0.108252
5.114,0.108193
5.126,0.108134
5.138,0.108075
5.150,0.108016
5.162,0.107957
5.174,0.107897
5.186,0.107837
5.198,0.107778
5.210,0.107718
5.222,0.107658
5.234,0.107598
5.246,0.107537
5.258,0.107477
5.270,0.107417
5.282,0.107356
5.294,0.107295
5.307,0.107234
5.319,0.107173
5.331,0.107112
5.343,0.107050
5.355,0.106989
5.367,0.106927
5.379,0.106866
5.391,0.106804
5.403,0.106742
5.415,0.106679
5.427,0.106617
5.439,0.106555
5.451,0.106492
5.463,0.106429
5.475,0.106366
5.487,0.106303
5.499,0.106240
5.512,0.106177
5.524,0.106114
5.536,0.106050
5.548,0.105987
5.560,0.105923
5.572,0.105859
5.584,0.105795
5.596,0.105731
5.608,0.105666
5.620,0.105602
5.632,0.105537
5.644,0.105473
5.656,0.105408
5.668,0.105343
5.680,0.105278
5.692,0.105213
5.704,0.105147
5.717,0.105082
5.729,0.105016
5.741,0.104950
